과목명,강의 내용,상세 URL
최반장의 엑셀 피벗테이블 마스터 클래스,누구나 일상과 실무에서 쉽고 빠르게 데이터를 분석하고 다이내믹한 자동화된 보고서를 만들 수 있는 엑셀 피벗 테이블을 학습하는 과정입니다. 피벗 테이블은 쉽고 강력합니다. 이 강의를 통해서 데이터 분석을 통한 문제 해결 프로세스를 시작할 수 있습니다.,https://www.inflearn.com/course/최반장-엑셀-피벗테이블-데이터분석?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
자바 머신러닝 weka(웨카) 중급,자바 머신러닝 저변화를 위한 2번째 강좌 입니다. 설계/코딩 모두 구현가능 하도록 UI와 API 를 제공하는 Weka(웨카)를 소개합니다. 실무에 적용해도 전혀 손색이 없는 사례를 강의로 녹여냈습니다.,https://www.inflearn.com/course/자바-머신러닝-weka-중급?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
3시간에 끝내는 디지털 마케팅의 모든 것,"1) 디지털 마케팅의 거대한 흐름을 파악하여, 디지털 마케터가 되기위한 방법론들을 살펴봅니다.
2) 디지털 마케팅의 핵심 툴인 구글 애널리틱스를 맛보는 강의를 진행합니다.",https://www.inflearn.com/course/3시간에-끝내는-디지털마케팅-모든것?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
[백문이불여일타] 데이터 분석을 위한 고급 SQL,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 고급 강의. 
SQL 고급 이론을 배우고, 실습 문제를 함께 풀어봅니다.",https://www.inflearn.com/course/데이터-분석-고급-sql?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
데이터베이스 중급(Modeling),본 강좌는 데이터베이스 설계 이론을 실습 위주로 쉽게 풀어냈습니다. 책 등을 통해서 경험하신 분들은 대부분 데이터베이스 이론이 어렵다고 느끼고 포기하신 경험들이 있을 겁니다.  저도 그랬습니다. 그러나 알고보면 쉬우면서도 매우 흥미로운 분야라는 것을 알게 됩니다. 본 강좌에서는 아주 쉽게 보고만 있어도 이해가 될 수 있도록 설계 내용을 구성하였습니다.,https://www.inflearn.com/course/관계형데이터베이스-rdbms?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
바닥부터 시작하는 STM32 드론 개발의 모든 것,"※ 본 강의는 22년9월부터 전면 무료화 되었습니다.
무료 컴파일러인 STM32CubeIDE를 이용한 STM32F4 고성능 자작 드론의 FCC 비행제어 시스템을 처음부터 끝까지 모두 직접 개발하는 유일한 강좌입니다.
ArduPilot이나 Pixhawk등 드론 오픈소스를 사용하지 않고 센서 인터페이스부터 PID 제어까지 모두 직접 구현하기 때문에 드론 제어시스템  및 임베디드 시스템의 모든 개발 과정들을 경험하고 학습할 수 있습니다.

비전공자, 초보자도 쉽게 따라할 수 있도록 수업에서 모든 소스코드와 하드웨어 조립 방법에 대해 천천히 설명드립니다.

천천히 따라만 하시면 내가 직접 개발한 자신만의 드론으로 상용제품보다 안정적인 비행을 경험하실 수 있습니다.",https://www.inflearn.com/course/stm32cubelde-stm32f4드론-개발?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
Kevin의 알기 쉬운 Java 개발자 로드맵 이야기,Kevin의 알기 쉬운 Java 개발자(웹 개발자) 로드맵 이야기,https://www.inflearn.com/course/java-4?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
홍정모의 게임 만들기 연습 문제 패키지,기초적인 문법을 공부하셨다면 당연히 뭔가 만들어보고 싶으시겠지요? C++ 초보 프로그래머들이 간단한 게임을 만들면서 객체지향 프로그래밍에 능숙해질 수 있도록 도와드리는 강의입니다. 스스로 게임 프로그래밍을 시작할 수 있는 '최소한'의 코드를 제공해드리고 문법 공부만으로는 터득할 수 없었던 객체지향의 노하우를 알려드립니다. 즐겁게 만들면서 중급 이상으로 빠르게 뛰어올라보세요!,https://www.inflearn.com/course/c-2?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
견고한 JS 소프트웨어 만들기,같은 기능을 만들더라도 자바스크립트 문법을 이제 막 뗀 주니어 개발자와 경험 많은 시니어 개발자의 코드는 상당히 다릅니다. 물론 결과물은 같더라도 말이죠. 후자의 코드가 인정받는 이유는 짜임새 있는 설계와 변화에 대응할수 있는 확장성 때문일거에요. 이 강의는 그런 좋은 코드를 만들어 내는 방법에 대해 알아봅니다.,https://www.inflearn.com/course/tdd-견고한-소프트웨어-만들기?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
코딩테스트 [문제 해결 기법],문제를 풀 때 의식적으로 사용할 수 있는 알고리즘 문제 해결 기법을 정리 하였습니다.,https://www.inflearn.com/course/코딩테스트-상위권-문제해결기법?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
Three.js 3D 도시모델 & Netlify 배포,"언제까지 박스나 구체 뺑뺑이 도는 것만 배우시나요, 숲을 봐야지 나무만 보면 생각이 크지 않습니다. 
완전 초보를 탈출하고 실무에 적용할 수 있으며, 최근 주목받고 있는 디지털-트윈에 한 역할을 담당할 Three.js의 파워를 느껴보세요. 홈페이지 뺑뺑이 용도가 아닌 업무 적용 수준입니다.
제조,국방,재난,운송 분야등 관련 모델(glb, glTF..)의 제작 역량을 보유하면 도메인 전문성이 한 층 업그레이드 됩니다.
개인 및 회사 서버에 On-Premises용 Node.js(Express) & Nest.js 각 서버도 개발합니다
본 강의를 조금만 변형 해도 파워풀한 서비스 제작과 더불어 IT 인재로 거듭날 것입니다. 여러분 쫄지 마시고, 도전하세요 그리 어렵지 않습니다.^^",https://www.inflearn.com/course/threejs-도시모델-배포?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
제로베이스도 따라만 하면 배우기 쉬운 ChatGPT 활용 방법,"ChatGPT 완전정복: 초보자를 위한 AI 활용법 - 프롬프트 작성부터 콘텐츠 제작, 프로그래밍까지",https://www.inflearn.com/course/제로베이스-배우기쉬운-chatgpt-활용?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
안정적인 서비스 배포를 위한 배포 전략과 팁,"이번 강의에서는 다양한 배포 전략을 이해하고, 상황에 맞는 배포 방식을 선택하여 서비스 안정성을 극대화하는 방법을 배울 수 있습니다. 또한, 슬랙 알람 설정과 운영 환경 배포의 실전적인 팁도 함께 얻어갈 수 있습니다!",https://www.inflearn.com/course/안정적인-서비스-배포-팁?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
GraphQL - REST API를 대체할 기술,GraphQL의 프론트엔드와 백엔드를 한번에 배울 수 있는 기회,https://www.inflearn.com/course/graphql-rest-api를-대체할-기술?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
Spotfire 사용자교육 고급편 5: R & Python 연동,"시각화솔루션 Spotfire – 사용자교육 고급편은 
기초편에서 간단하게 다루었던 기능들의 다양한 활용방법, 
계산된 컬럼에 활용할 수 있는 Spotfire 함수, Spotfire에서 제공하는 통계분석 기능, R과 Python을 연동하여 통계분석기능을 활용하는 방법을 학습하는 과정입니다.

그 중 다섯 번째 파트에서는 Spotfire에 R과 Python을 연동하는 기능을 이용해 통계 분석의 더 많은 알고리즘과 이를 Spotfire에서 사용하는 기능들에 대해 소개합니다",https://www.inflearn.com/course/spotfire-고급-5?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
초보자를 위한 git & github 기본기,"초보자를 위해 git & github의 가장 기초적인 명령어들, flow에 대해서 알아봅니다.",https://www.inflearn.com/course/초보자-git-github?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
e스포츠 특강: e스포츠와 CSR,현재 많은 기업들이 다양한 사회공헌활동(CSR)을 진행하고 있습니다. 어떤 사회공헌활동이 효과적일까요? 그리고 e스포츠로 어떤 사회공헌활동을 진행할 수 있을까요?,https://www.inflearn.com/course/nongshim-esports-csr?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
"자유를 위한 ""월배당ETF"" 레시피!","이 강의는 여러분의 투자 여정을 더 스마트하게 만들어줄 것 입니다. 월배당ETF의 기본 개념부터 고급전략, 실제 시장 활용법까지 모두 다룹니다.",https://www.inflearn.com/course/월배당-etf-레시피?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
블렌더 지오메트리 노드 클래스 Part 1,"무료 오픈 소스 프로그램 블렌더를 가장 강력하게 활용할 수 있는 프로시져럴 워크 플로우 툴셋 지오메트리 노드 클래스입니다.

블렌더의 차세대 UI 지오메트리 노드를 블렌더 최신 버전인 4.2버전을 통해 기초 개념부터 살펴봅니다. 
지오메트리 노드의 핵심을 이루는 다중 입,출력 함수 처리 시스템 '필드'에 관해서 살펴보고, 지오메트리 노드를 언어적 관점에서 접근하여, 작업 진행을 위한 다양한 해결책을 주도적으로 찾아내는 능력을 키워나가기 위한 기초 체력을 다지게 됩니다. 
 컴퓨터 그래픽 작업으로 경험할 수 있는 가장 높은 수준의 창의적 쾌감을 가져다주는 지오메트리 노드의 세계로 초대합니다.",https://www.inflearn.com/course/지오메트리-노드-part1?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
코딩이 처음인 초보자도 쉽게 만드는 파이썬 (Python) 으로 나만의 게임 만들기,제로베이스부터 시작해서 Pygame를 라이브러리를 활용한 누구나 쉽게 파이썬 (Python) 게임 만들기,https://www.inflearn.com/course/초보자-파이썬-게임-만들기?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
D3D Tiled Resources를 이용한 텍스처 스트리밍,이 강의에서는 D3D11/12에서 Tiled Resoures를 사용하는 방법을 소개합니다.,https://www.inflearn.com/course/d3d-tiled-resources-texture-streaming?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
IoT(사물인터넷)지식능력검정 자격증 대비,본 강의를 통해 수강생은 쉽게 사물인터넷의 개념에 대한 이해와 IoT지식능력검정 자격증 시험에 동시에 대비할 수 있도록 강의를 구성하였습니다.,https://www.inflearn.com/course/사물인터넷-자격증-대비-dsu?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
백엔드 개발을 위한 필수 강의 - 스프링 부트3,백앤드 개발에서 가장 많이 사용되는 스프링 부트3를 완전 쉽게 강의합니다. 따라하기 식으로 백앤드 개발의 필수이자 가장 많이 사용되는 게시판을 만들어갑니다. 인기 도서 '점프 투 스프링부트3'를 가지고 공부합니다.,https://www.inflearn.com/course/백엔드-개발-필수-스프링부트3?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
유니티 2D 타일맵 프로젝트,유니티 타일맵의 기술들을 공부할수있는 강의입니다.,https://www.inflearn.com/course/유니티-2d-타일맵?attributionToken=ChQxNDgzMjUzODA2OTAyMDU2MzcxMxANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvrx0RK08dES89GEEozy0RKp8tESj_LREvfx0RKt8tESvvLRErvy0RI
React 비기너: 튼튼한 기본 만들기,"React 기본을 배울 수 있습니다. React와 관련된 HTML, JavaScript, DOM, Event, Object, Module, OOP 등을 정리할 수 있습니다.",https://www.inflearn.com/course/react-비기너?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
직장인을 위한 가장 현실적인 재테크,"수 억, 수십 억 벌게 해준다는 사기에 가까운 뜬구름 잡는 내용이 아닙니다. 직장 생활의 각 직급 (연차) 별로 실제로 도움이 되는 가장 현실적인 재테크 방법을 공유해 드릴게요!",https://www.inflearn.com/course/직장인을-위한-가장-현실적인-재테크?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
실습으로 배우는 선착순 이벤트 시스템,선착순 이벤트 시스템을 구현할 때 어떤 문제가 발생할 수 있고 어떻게 해결할 수 있는지 배워봅니다.,https://www.inflearn.com/course/선착순-이벤트-시스템-실습?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
3. 웹개발 코스 [Enterprise Architecture(EA) X 전자정부프레임워크],"대기업, 외국 기업에서 채택하는 Enterprise Architecture(EA)와 스프링(Spring) 프레임워크의 만남! 세계 유일 Enterprise Architecture X 스프링 프레임워크 강의입니다. 아울러 실무에서 자주 사용되는 전자정부프레임워크 조건을 충족함으로써 실제 개발 프로젝트 적용에 더욱 도움이 될 수 있도록 구성하였습니다.",https://www.inflearn.com/course/웹개발-코스-ea-전자정부-프레임워크?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
ChatGPT를 이용한 누구나 앱개발 with 알렉,ChatGPT가 나왔습니다. 이로 인해 개발을 모르시는 분들도 앱을 만들 수 있는 시대가 되었습니다. 아이디어는 있는데 아직 만들지 못하셨다면 빠르게 도전해보세요!,https://www.inflearn.com/course/chatgpt-앱개발-시작?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
상사에게 인정받는 [알아두면 쓸모 있는 엑셀 팁(1)],여러분은 엑셀을 업무에 잘 활용하고 계신가요? 엑셀의 작은 팁이 실수를 줄이고 업무 효율을 올려줍니다! 이번 강좌에서는 알아두면 쓸모있는 엑셀 팁으로 16가지를 엄선하여 자세히 설명합니다.,https://www.inflearn.com/course/엑셀-팁-은희쌤-1?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
업무 자동화 [엑셀 분석작업의 모든것],"데이터 분석으로 '피벗테이블' 많이 사용하시죠? 그러나 엑셀은 피벗테이블 외에도 상황에 맞는 다양한 분석작업을 제공합니다. 이번 강좌에서  엑셀 분석작업을 10가지 방법으로 총 정리해드립니다
(정렬, 부분합, 피벗테이블, 피벗챠트, 목표값찾기, 데이터표, 시나리오관리자, 통합, 고급필터, 조건부서식)",https://www.inflearn.com/course/엑셀-분석-은희쌤?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
재고시스템으로 알아보는 동시성이슈 해결방법,동시성 이슈란 무엇인지 알아보고 처리하는 방법들을 학습합니다.,https://www.inflearn.com/course/동시성이슈-재고시스템?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
[D.P.2(DappProject2)] 디앱 프로젝트2(Klaytn 네트워크를 활용한 NFT 생성 및 판매),"이 강의를 통해 Klaytn 네트워크에서 NFT를 발행하는 방법을 배울 수 있습니다.
더불어 React+TypeScript 조합으로 디앱을 구성하는 법을 배웁니다.",https://www.inflearn.com/course/디앱-프로젝트-2?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
"WPF (C#, 자막제공)","윈폼에서 WPF의 도입을 고려하는 개발자, 미국 취업을 희망하는 응용프로그램 개발자, 개발자로 취업을 희망하는 분들에게 도움이 될만한 WPF 강의입니다. 이론 및 디자인 위주의 강의가 아니라 실무에서 사용할 수 있는 내용을 다루고 있습니다.",https://www.inflearn.com/course/wpf-subtitles?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
[온라인 클래스 제작] 온라인클래스 7개 제작한 노하우 공개!,이 강의를 통해 수업이 끝난 후 자신만의 노하우로 온라인 클래스를 바로 만들 수 있습니다.,https://www.inflearn.com/course/온라인-클래스-제작-노하우?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
13가지 예제로 배우는 CSS Flex & Grid 핵심 기능,"이론은 핵심만 빠르게. 우리 글 말고 진짜 코드로 배웁시다! 반복 학습으로 자연스럽게 익숙해지는 Flex와 Grid! 😎  (HTML5 독학백서, CSS3 독학백서 저자 직강)",https://www.inflearn.com/course/플렉스-그리드-예제?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
Spotfire 사용자교육 고급편 4: 통계 및 그 외의 기능,"시각화 솔루션 Spotfire - 사용자교육 고급편은 기초편에서 간단하게 다루었던 기능들의 다양한 활용방법, 계산된 칼럼에 활용할 수 있는 Spotfire 함수, Spotfire에서 제공하는 통계분석 기능 등을 학습하는 과정입니다. 그 중 네번째 파트에서는 Spotfire에 내장된 통계분석 기능을 이용해 데이터 상관성을 분석하는 방법과, 이전 파트에서 다루지 못했던 그 외의 기능들에 대해 소개합니다.",https://www.inflearn.com/course/spotfire-고급-4?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
C#.NET 0.5년차~3년차(파트1),이 강의에서는 0.5년차부터 3년차 C# 응용프로그램 개발자가 꼭 알고 있어야 하는 내용을 다루게 됩니다.,https://www.inflearn.com/course/닷넷-윈폼-1?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
비개발자를 위한 IT 직무 총정리!,누군가에게 말로 명확하게 설명하기 어려운 IT 직무를 영상으로 정리한 시리즈입니다.,https://www.inflearn.com/course/it-직무-시리즈?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
김일한의 파이썬 기반 판다스(Pandas)를 활용한 데이터 분석,"본 과정은 판다스 라이브러리를 활용하여 데이터분석 방법을 학습하는 과정입니다.  
라이브러리 학습과 샘플 데이터분석을 병행하여 실전 적용방법을 학습합니다.",https://www.inflearn.com/course/소프트캠퍼스-판다스-데이터분석?attributionToken=ChI0MjkxMjkzODUyMDU1OTk0MTQQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LI_y0RK08dES89GEEr7y0RKM8tESsvHREvfx0RL68dESqfLREq3y0RK78tES
